Unnamed: 0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,Predicted_Rating
227,231866,5848,22,4523,126,103,82,87,61,484,58,56,2055,1,1.0,3.0,4.0,6,0,1,4,16.0,2018-07-01,19,24,12,28,34,34,34,36,36,36,36,36,38,38,38,33,39,39,39,33,43,48,48,48,43,43,47,47,47,43,63.0,64.0,75.0,83.0,59.0,77.0,65.0,54.0,80.0,82.0,70.0,66.0,69.0,79.0,72.0,70.0,69.0,86.0,75.0,76.0,63.0,80.0,75.0,83.0,46.0,78.0,71.0,80.0,74.0,10.0,10.0,7.0,14.0,8.0,551,456.62
231,230225,3539,34,4257,19,113,82,82,168,585,96,34,2003,1,1.0,3.0,2.0,2,1,0,17,3.0,2018-01-01,19,22,1,28,27,27,27,22,24,24,24,22,22,22,22,19,24,24,24,19,38,43,43,43,38,42,52,52,52,42,40.0,56.0,83.0,67.0,63.0,60.0,72.0,58.0,58.0,64.0,68.0,74.0,61.0,78.0,63.0,74.0,91.0,76.0,79.0,61.0,86.0,82.0,58.0,50.0,62.0,70.0,77.0,85.0,84.0,18.0,12.0,14.0,11.0,18.0,39,137.33
234,224411,2468,21,3500,113,96,82,86,604,554,58,31,2006,1,1.0,3.0,4.0,1,1,1,11,17.0,2018-08-29,19,25,0,14,37,37,37,42,40,40,40,42,40,40,40,37,33,33,33,37,30,29,29,29,30,27,22,22,22,27,76.0,75.0,60.0,77.0,71.0,86.0,76.0,70.0,68.0,81.0,89.0,90.0,85.0,80.0,78.0,81.0,65.0,81.0,62.0,77.0,67.0,50.0,77.0,77.0,69.0,80.0,24.0,34.0,30.0,9.0,12.0,11.0,9.0,9.0,565,499.6
412,239207,4443,21,5625,144,120,80,85,456,548,46,19,1806,1,1.0,3.0,3.0,5,2,1,25,18.0,2017-07-01,19,23,10,30,39,39,39,34,36,36,36,34,33,33,33,29,26,26,26,29,19,22,22,22,19,17,20,20,20,17,56.0,85.0,81.0,76.0,76.0,76.0,68.0,53.0,58.0,77.0,61.0,65.0,45.0,77.0,53.0,79.0,73.0,71.0,80.0,76.0,65.0,21.0,83.0,60.0,67.0,65.0,35.0,20.0,23.0,7.0,8.0,13.0,12.0,6.0,420,370.94
422,228229,1958,26,3934,109,117,80,83,632,409,25,66,1667,1,1.0,3.0,2.0,8,1,0,17,4.0,2018-07-14,19,22,11,31,15,15,15,10,12,12,12,10,12,12,12,10,18,18,18,10,34,42,42,42,34,38,50,50,50,38,33.0,31.0,82.0,71.0,24.0,47.0,30.0,34.0,56.0,56.0,56.0,65.0,42.0,77.0,42.0,71.0,73.0,76.0,84.0,34.0,82.0,80.0,27.0,45.0,48.0,74.0,82.0,82.0,76.0,9.0,13.0,15.0,9.0,15.0,294,250.11
424,226851,776,22,3816,51,62,80,86,611,527,31,28,1965,1,1.0,3.0,3.0,8,0,0,16,2.0,2016-08-30,19,22,10,22,23,23,23,27,25,25,25,27,28,28,28,26,32,32,32,26,43,48,48,48,43,45,50,50,50,45,66.0,37.0,73.0,78.0,57.0,66.0,58.0,51.0,80.0,77.0,69.0,73.0,68.0,77.0,66.0,60.0,86.0,77.0,74.0,48.0,72.0,84.0,54.0,66.0,51.0,79.0,83.0,80.0,81.0,9.0,7.0,15.0,7.0,15.0,318,317.22
427,226226,2350,22,3741,6,111,80,86,468,546,48,62,2105,0,1.0,3.0,3.0,2,1,1,18,20.0,,166,17,8,16,35,35,35,40,38,38,38,40,40,40,40,36,38,38,38,36,40,42,42,42,40,39,38,38,38,39,75.0,73.0,59.0,81.0,69.0,81.0,82.0,72.0,80.0,82.0,72.0,75.0,81.0,77.0,81.0,79.0,64.0,80.0,67.0,75.0,65.0,65.0,78.0,81.0,60.0,79.0,61.0,67.0,67.0,10.0,7.0,10.0,15.0,14.0,0,0.0
431,221540,5828,28,3128,19,113,80,80,487,407,18,12,1830,0,1.0,3.0,2.0,8,1,0,1,34.0,2017-07-01,19,23,11,27,22,22,22,18,18,18,18,18,19,19,19,16,23,23,23,16,36,43,43,43,36,39,51,51,51,39,56.0,50.0,86.0,68.0,49.0,56.0,37.0,43.0,62.0,60.0,52.0,51.0,59.0,77.0,52.0,67.0,85.0,75.0,85.0,54.0,88.0,81.0,46.0,53.0,51.0,75.0,78.0,82.0,76.0,10.0,9.0,7.0,13.0,12.0,224,206.62
453,206413,6515,28,1815,142,107,80,80,530,50,18,13,2006,0,1.0,3.0,3.0,6,1,0,19,6.0,2010-07-01,19,23,1,22,27,27,27,29,29,29,29,29,30,30,30,27,34,34,34,27,42,49,49,49,42,44,49,49,49,44,63.0,53.0,69.0,81.0,56.0,64.0,60.0,45.0,77.0,78.0,71.0,64.0,60.0,78.0,73.0,75.0,71.0,82.0,76.0,70.0,88.0,82.0,54.0,69.0,52.0,81.0,79.0,79.0,77.0,15.0,13.0,9.0,14.0,9.0,225,210.2
511,186537,1173,31,581,144,120,80,80,272,86,19,37,2018,1,1.0,3.0,4.0,7,0,1,25,11.0,2017-07-21,19,20,10,18,40,40,40,37,38,38,38,37,36,36,36,33,31,31,31,33,29,32,32,32,29,28,32,32,32,28,68.0,80.0,87.0,74.0,74.0,78.0,66.0,57.0,65.0,79.0,70.0,69.0,65.0,81.0,62.0,79.0,83.0,81.0,78.0,75.0,81.0,36.0,82.0,69.0,80.0,77.0,45.0,49.0,42.0,16.0,14.0,9.0,16.0,8.0,262,253.51
